fecha_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,es_trata,subtema,provincia,localidad,dependencia_alta,via_ingreso,consultante_nacionalidad,consultante_provincia,consultante_localidad,consultante_tipo,consultante_como_conocio_la_linea,consultante_genero,consultante_edad_aparente,provincia_indec_id
2020-01-01,1584554505,Urgencia,Ciudadano,No,Trata,1,Persona desaparecida,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Consultante - ciudadano,,Mujer,25,2
2020-01-02,4584554505,Urgencia,Ciudadano,No,Relaciones de familia,0,Deberes de responsabilidad parental o familiar,Jujuy,San Salvador de Jujuy,PNR - Línea 145,Línea 145,Bolivia,Jujuy,San Salvador de Jujuy,Consultante - ciudadano,,Mujer,,38
2020-01-02,5584554505,Urgencia,Ciudadano,Si,Trata,1,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,6
2020-01-02,6584554505,Urgencia,Ciudadano,Si,Violencia de género,0,Económica,Salta,Salta,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,66
2020-01-02,7584554505,Urgencia,Ciudadano,Si,Trata,1,Explotación sexual,Buenos Aires,Campana,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",Mujer,,
2020-01-02,8494554505,Urgencia,Ciudadano,No,Salud,0,Salud mental,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Hombre,,
2020-01-02,9494554505,Urgencia,Ciudadano,No,Trata,1,Explotación sexual,Jujuy,San Salvador de Jujuy,PNR - Línea 145,Línea 145,Bolivia,Jujuy,San Salvador de Jujuy,Consultante - ciudadano,,,,
2020-01-03,3594554505,Urgencia,Ciudadano,No,Trabajo,0,Despidos,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,"No sabe, no recuerda",,,6
2020-01-03,6594554505,Urgencia,Ciudadano,No,Trata,1,Explotación laboral,Tierra del Fuego,Rio Grande,PNR - Línea 145,Línea 145,Argentina,Tierra del Fuego,Rio Grande,Consultante,"No sabe, no recuerda",Hombre,,94
2020-01-03,7594554505,Urgencia,Ciudadano,No,Víctima de delito,0,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Hombre,,6
2020-01-03,8405554505,Urgencia,Ciudadano,No,Trata,1,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,"No sabe, no recuerda",Mujer,,6
2020-01-03,2505554505,Urgencia,Ciudadano,Si,Violencia de género,0,Física,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,90
2020-01-04,3505554505,Urgencia,Ciudadano,No,Víctima de delito,0,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,
2020-01-04,4505554505,Urgencia,Ciudadano,No,Víctima de delito,0,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Santa Fe,Rosario,PNR - Línea 145,Línea 145,Argentina,Santa Fe,Rosario,Consultante - ciudadano,,Mujer,,82
2020-01-04,5505554505,Urgencia,Ciudadano,No,Derechos de usuarios/as y consumidores/as,0,Transporte de larga distancia,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,
2020-01-04,6505554505,Urgencia,Ciudadano,No,Trata,1,Explotación sexual,,,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante - ciudadano,,Mujer,,
2020-01-05,515554505,Urgencia,Ciudadano,No,Violencia de género,0,Sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Bolivia,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Consultante - ciudadano,,Mujer,15,2
2020-01-05,1515554505,Urgencia,Ciudadano,No,Violencia de género,0,Física,Córdoba,Córdoba,PNR - Línea 145,Línea 145,Argentina,Córdoba,Córdoba,Consultante - ciudadano,,Mujer,,14
2020-01-06,4515554505,Urgencia,Ciudadano,No,Trata,1,"Posible captación, abuso sexual",Buenos Aires,Hurlingham,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Hurlingham,Consultante - ciudadano,,Mujer,,6
2020-01-06,6515554505,Urgencia,Ciudadano,No,Trata,1,Explotación laboral,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante - ciudadano,,,,6
2020-01-09,8445554505,Urgencia,Ciudadano,No,Trata,1,Explotación laboral,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,
2020-01-09,1545554505,Urgencia,Ciudadano,No,Relaciones de familia,0,Disputas familiares,Tucumán,Tucumán,PNR - Línea 145,Línea 145,Argentina,Tucumán,Tucumán,Consultante,"No sabe, no recuerda",,,90
2020-01-09,3545554505,Urgencia,Ciudadano,No,Víctima de delito,0,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,Salta,Salta,PNR - Línea 145,Línea 145,Argentina,Salta,Salta,Consultante,Por publicidad en internet,Mujer,30,66
2020-01-10,6545554505,Urgencia,Ciudadano,No,Trata,1,Explotación sexual,Entre Ríos,,PNR - Línea 145,Línea 145,Argentina,Entre Ríos,,Consultante,"No sabe, no recuerda",Mujer,,30
2020-01-10,555554505,Urgencia,Ciudadano,No,Trata,1,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Mujer,,6
2020-01-11,5555554505,Urgencia,Ciudadano,No,Víctima de delito,0,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Buenos Aires,Cañuelas,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Cañuelas,Consultante,Derivado de otro organismo,Mujer,32,6
2020-01-11,7555554505,Urgencia,Institución,No,Víctima de delito,0,"Contra la integridad sexual: corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming, contra la libertad: trata de personas con fines de explotación sexual o laboral",,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Derivado de otro organismo,Mujer,,
2020-01-12,3565554505,Urgencia,Ciudadano,No,Relaciones de familia,0,"Deberes de responsabilidad parental o familiar, divorcio y cese de convivencia, violencia intrafamiliar",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Hombre,,6
2020-01-13,4565554505,Urgencia,Ciudadano,No,Salud,0,Salud mental,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Hombre,,
2020-01-13,6565554505,Urgencia,Ciudadano,No,Trata,1,Explotación sexual,Córdoba,Córdoba,PNR - Línea 145,Línea 145,Argentina,Córdoba,Córdoba,,,,,14
2020-01-13,7565554505,Urgencia,Ciudadano,No,Trata,1,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante - ciudadano,,Hombre,,6
2020-01-13,8475554505,Urgencia,Ciudadano,No,Trata,1,Persona desaparecida,Neuquén,Neuquen,PNR - Línea 145,telefono institucional,Argentina,Neuquén,Neuquén,,,,,58
2020-01-13,2575554505,Urgencia,Ciudadano,No,Trata,1,Persona desaparecida,Neuquén,San Martín de los Andes,PNR - Línea 145,teléfono institucional del Programa,Argentina,Buenos Aires,La Plata,Consultante - ciudadano,,Hombre,,58
2020-01-14,7575554505,Urgencia,Ciudadano,No,Trata,1,Posible captación,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Mujer,,6
2020-01-14,2584654505,Urgencia,Ciudadano,No,Trata,1,Persona desaparecida,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Hombre,,
2020-01-15,3584654505,Urgencia,Ciudadano,No,Trata,1,Persona desaparecida,Santa Fe,Barrancas,PNR - Línea 145,Línea 145,Argentina,Santa Fe,Santa Fe,Consultante - ciudadano,,Mujer,,82
2020-01-15,4584654505,Urgencia,Ciudadano,No,Trata,1,Articulacion,Corrientes,Paso de los Libres,PNR - Línea 145,Línea 145,Argentina,Corrientes,Paso de los Libres,,,,,18
