feature,coef,coef_abs,signo
cat__origen_ciudadano,-1.2884053051451105,1.2884053051451105,-
cat__consultante_localidad_,-0.7623672481123348,0.7623672481123348,-
cat__consultante_nacionalidad_uruguay,-0.7431655963382274,0.7431655963382274,-
cat__consultante_localidad_ciudad autnoma de buenos aires,-0.5786893701892298,0.5786893701892298,-
cat__localidad_Córdoba,0.5299567101154424,0.5299567101154424,+
cat__localidad_San Miguel de Tucumán,0.5194486266524896,0.5194486266524896,+
cat__consultante_localidad_rosario,-0.5137927402422917,0.5137927402422917,-
cat__provincia_Río Negro,-0.5136028651203774,0.5136028651203774,-
cat__consultante_nacionalidad_sin descripcion,0.5000383965296855,0.5000383965296855,+
cat__via_ingreso_linea 149,-0.4959963525720034,0.4959963525720034,-
cat__consultante_como_conocio_la_linea_Por publicidad en TV,-0.48414798497052897,0.48414798497052897,-
cat__consultante_provincia_catamarca,-0.4818859436556293,0.4818859436556293,-
cat__consultante_como_conocio_la_linea_Concurrió en otra oportunidad,0.4513178447276122,0.4513178447276122,+
cat__consultante_provincia_neuqun,0.4462321386183412,0.4462321386183412,+
cat__consultante_localidad_crdoba,-0.437729504523992,0.437729504523992,-
cat__consultante_provincia_ro negro,-0.41147465048779147,0.41147465048779147,-
cat__consultante_provincia_tucumn,-0.4084896323057582,0.4084896323057582,-
cat__consultante_provincia_,-0.4082922138748611,0.4082922138748611,-
cat__consultante_localidad_la plata,0.4053508543080781,0.4053508543080781,+
cat__consultante_como_conocio_la_linea_Por publicidad en radio,-0.40257743744395247,0.40257743744395247,-
cat__via_ingreso_linea 145,-0.39165242822889385,0.39165242822889385,-
cat__consultante_provincia_mendoza,0.3677648577676021,0.3677648577676021,+
cat__consultante_provincia_chaco,0.36427297009141063,0.36427297009141063,+
cat__consultante_localidad_la banda,-0.35645474102860236,0.35645474102860236,-
cat__localidad_Lomas de Zamora,-0.34694590182287166,0.34694590182287166,-
cat__consultante_localidad_san miguel de tucumn,0.3392318301671478,0.3392318301671478,+
cat__consultante_localidad_resistencia,0.33136404286242394,0.33136404286242394,+
cat__consultante_localidad_caba caba,-0.32572325487091164,0.32572325487091164,-
cat__localidad_San Martín,0.32121936691681435,0.32121936691681435,+
cat__consultante_provincia_santiago del estero,0.31775565343836737,0.31775565343836737,+
cat__consultante_localidad_lomas de zamora,-0.3173106894706273,0.3173106894706273,-
cat__via_ingreso_llamada no pertinente,0.31579007699726996,0.31579007699726996,+
cat__provincia_Chaco,-0.3139559629767565,0.3139559629767565,-
cat__consultante_localidad_san fernando,-0.3100678738710375,0.3100678738710375,-
cat__consultante_provincia_crdoba,-0.3049907741181823,0.3049907741181823,-
cat__localidad_San Fernando,-0.3002202781761781,0.3002202781761781,-
cat__consultante_localidad_ushuaia,0.29882185530683997,0.29882185530683997,+
cat__consultante_provincia_san juan,0.29157930869071746,0.29157930869071746,+
cat__consultante_nacionalidad_venezuela,-0.29146778972388243,0.29146778972388243,-
cat__localidad_Campana,0.2910230193984287,0.2910230193984287,+
cat__consultante_localidad_benavidez,-0.29098945340904114,0.29098945340904114,-
cat__localidad_Ciudad Autónoma de Buenos Aires,0.28699570500164956,0.28699570500164956,+
cat__localidad_General Rodríguez,-0.28374607095071264,0.28374607095071264,-
cat__consultante_localidad_formosa,0.2837372059451892,0.2837372059451892,+
cat__temporada_otonio,0.2818266913897081,0.2818266913897081,+
cat__consultante_provincia_san luis,0.2793897193938242,0.2793897193938242,+
cat__localidad_Monte Caseros,0.2728329592708497,0.2728329592708497,+
cat__consultante_localidad_buenos aires,0.27203223493667245,0.27203223493667245,+
cat__localidad_Deán Funes,-0.2708503150857772,0.2708503150857772,-
cat__localidad_Trelew,0.2665200635000039,0.2665200635000039,+
cat__via_ingreso_formulario_web,0.2635768937469803,0.2635768937469803,+
num__consultante_edad_aparente,-0.26261003443550157,0.26261003443550157,-
cat__localidad_Grand Bourg,0.2625480407179717,0.2625480407179717,+
cat__localidad_Buenos Aires,0.2586289144887207,0.2586289144887207,+
cat__localidad_José C. Paz,0.2563239252124076,0.2563239252124076,+
cat__consultante_localidad_villa fiorito,-0.25602594218492825,0.25602594218492825,-
cat__consultante_localidad_san miguel del monte,0.2529509373219564,0.2529509373219564,+
cat__localidad_Gualeguaychú,-0.2509240067281246,0.2509240067281246,-
cat__provincia_Santa Fe,0.24808877372599092,0.24808877372599092,+
cat__consultante_localidad_san miguel,0.2462446333243076,0.2462446333243076,+
cat__consultante_provincia_tierra del fuego,0.2457629682784302,0.2457629682784302,+
cat__localidad_Malvinas Argentinas,0.24563697993214795,0.24563697993214795,+
cat__consultante_localidad_mendoza,0.24363831021179302,0.24363831021179302,+
cat__localidad_Jujuy,0.2419042122226212,0.2419042122226212,+
cat__localidad_San Miguel,-0.2346647321949583,0.2346647321949583,-
cat__localidad_Berazategui,-0.23316095812474244,0.23316095812474244,-
cat__consultante_localidad_baha blanca,0.23294821358480305,0.23294821358480305,+
cat__provincia_San Juan,0.23232041763840186,0.23232041763840186,+
cat__localidad_San Antonio,-0.23199747748171107,0.23199747748171107,-
cat__localidad_Boulogne,-0.23031726183759685,0.23031726183759685,-
cat__consultante_localidad_boulogne,-0.23031726183759685,0.23031726183759685,-
cat__localidad_Comodoro Rivadavia,-0.22797409707288818,0.22797409707288818,-
cat__provincia_Neuquén,-0.22786496753552965,0.22786496753552965,-
num__dia_semana,-0.22779573268731446,0.22779573268731446,-
cat__localidad_Tartagal,-0.22240247820283954,0.22240247820283954,-
cat__localidad_Gálvez,-0.22191843582597454,0.22191843582597454,-
cat__localidad_La Matanza,0.2210267873048231,0.2210267873048231,+
cat__provincia_Santiago del Estero,-0.21658291616638597,0.21658291616638597,-
cat__localidad_Formosa,-0.21643638829539066,0.21643638829539066,-
cat__consultante_localidad_clorinda,-0.2154445526801128,0.2154445526801128,-
cat__localidad_Salta,-0.21475182323084474,0.21475182323084474,-
cat__localidad_Baradero,-0.21209319121415798,0.21209319121415798,-
cat__localidad_Corrientes,-0.21059414280804584,0.21059414280804584,-
cat__localidad_Paraná,0.21028737732707534,0.21028737732707534,+
cat__situacion_Urgencia,0.209883987201859,0.209883987201859,+
cat__dependencia_alta_PNR - Línea 145,0.2085235246858562,0.2085235246858562,+
cat__consultante_localidad_catamarca,-0.20776639561526303,0.20776639561526303,-
cat__provincia_Catamarca,-0.20768708298747493,0.20768708298747493,-
cat__origen_institucion - ente nacional de comunicaciones,-0.2075896072383718,0.2075896072383718,-
"cat__consultante_como_conocio_la_linea_No sabe, no recuerda",0.2064611053392207,0.2064611053392207,+
cat__consultante_localidad_general rodrguez,-0.20641796006616608,0.20641796006616608,-
cat__consultante_localidad_florencio varela,0.20556689175621914,0.20556689175621914,+
cat__localidad_Pampa Blanca,-0.20418237187592234,0.20418237187592234,-
cat__consultante_localidad_guaymalln,0.2037745351532596,0.2037745351532596,+
cat__consultante_como_conocio_la_linea_Por Recomendación,-0.2023700234870739,0.2023700234870739,-
cat__localidad_Puerto Madryn,-0.20206066297669414,0.20206066297669414,-
cat__consultante_localidad_quilmes,0.20157359392193908,0.20157359392193908,+
cat__origen_institucion - asesoria general tutelar de caba,-0.20100603889837812,0.20100603889837812,-
cat__localidad_Villa Madero,0.20049102657862303,0.20049102657862303,+
cat__provincia_Formosa,-0.20033227856873148,0.20033227856873148,-
cat__provincia_San Luis,0.19922175681384396,0.19922175681384396,+
cat__localidad_Santa Rosa,0.19901385671992722,0.19901385671992722,+
cat__situacion_Emergencia,-0.19890470134710458,0.19890470134710458,-
cat__via_ingreso_,-0.19768552225096025,0.19768552225096025,-
cat__consultante_localidad_santa fe,0.19688955568983899,0.19688955568983899,+
cat__consultante_nacionalidad_argentina,0.1907277869386774,0.1907277869386774,+
cat__consultante_localidad_salta,-0.18911835746416647,0.18911835746416647,-
cat__localidad_Chascomús,-0.18865909505523018,0.18865909505523018,-
cat__localidad_Venado Tuerto,0.1869766698736001,0.1869766698736001,+
cat__localidad_Tucumán,-0.18562126420774444,0.18562126420774444,-
cat__consultante_como_conocio_la_linea_.,-0.18291636662603253,0.18291636662603253,-
cat__consultante_localidad_la matanza,0.18177484682498327,0.18177484682498327,+
cat__consultante_localidad_gonzlez catn,0.1807899616247451,0.1807899616247451,+
cat__origen_institucion,-0.18075397241544916,0.18075397241544916,-
cat__localidad_Dean Funes,-0.18024065360265532,0.18024065360265532,-
cat__dependencia_alta_Línea 149,-0.17896907057001743,0.17896907057001743,-
cat__consultante_localidad_santiago del estero,-0.17806782384100794,0.17806782384100794,-
cat__provincia_La Rioja,0.17738424747086887,0.17738424747086887,+
