t,n,n_pos,tasa_pos
2020-01,46,13,0.2826
2020-02,44,24,0.5455
2020-03,42,22,0.5238
2020-04,52,29,0.5577
2020-05,55,29,0.5273
2020-06,47,19,0.4043
2020-07,43,17,0.3953
2020-08,30,15,0.5
2020-09,48,22,0.4583
2020-10,40,24,0.6
2020-11,35,19,0.5429
2020-12,32,17,0.5312
2021-01,51,30,0.5882
2021-02,46,29,0.6304
2021-03,64,38,0.5938
2021-04,36,22,0.6111
2021-05,47,30,0.6383
2021-06,52,23,0.4423
2021-07,45,24,0.5333
2021-08,58,27,0.4655
2021-09,60,27,0.45
2021-10,41,22,0.5366
2021-11,43,28,0.6512
2021-12,40,21,0.525
2022-01,38,23,0.6053
2022-02,43,21,0.4884
2022-03,42,30,0.7143
2022-04,48,27,0.5625
2022-05,53,28,0.5283
2022-06,43,26,0.6047
2022-07,35,22,0.6286
2022-08,47,31,0.6596
2022-09,49,25,0.5102
2022-10,53,18,0.3396
2022-11,32,15,0.4688
2022-12,51,26,0.5098
2023-01,64,37,0.5781
2023-02,55,27,0.4909
2023-03,67,46,0.6866
2023-04,55,30,0.5455
2023-05,44,21,0.4773
2023-06,70,38,0.5429
2023-07,65,34,0.5231
2023-08,67,34,0.5075
2023-09,61,33,0.541
2023-10,45,33,0.7333
2023-11,51,31,0.6078
2023-12,50,24,0.48
2024-01,49,27,0.551
2024-02,78,46,0.5897
2024-03,63,39,0.619
2024-04,65,35,0.5385
2024-05,64,29,0.4531
2024-06,53,22,0.4151
2024-07,56,29,0.5179
2024-08,68,33,0.4853
2024-09,73,32,0.4384
2024-10,56,33,0.5893
2024-11,73,42,0.5753
2024-12,71,39,0.5493
