consultante_localidad,0,1
,3070,3314
9 de julio,0,1
adrogu,1,0
aguaray,1,0
aguirre,0,1
alderetes,0,1
almirante brown,1,3
alta gracia,0,1
altos de san lorenzo,1,0
apstoles,0,1
avellaneda,0,6
avi tera,1,0
ayacucho,0,2
azul,1,1
baha blanca,2,9
balcarce,0,1
banfield,0,1
baradero,1,0
bccar,1,1
bella vista,2,3
beln,1,0
beln de escobar,1,1
benavidez,2,0
berazategui,2,6
bernal,0,1
billinghurst,1,1
boulogne,3,0
buenos aires,39,155
burzaco,1,4
buta ranquil,0,1
caba caba,8,0
caballito,1,1
campana,1,4
campo gallo,1,0
campo grande,1,0
capilla del monte,1,1
capital,1,4
"capitn sarmiento, buenos aires",1,0
carmen de patagones,0,1
caseros,2,2
catamarca,3,2
cauelas,1,0
centenario,0,1
chacabuco,1,1
charata,1,1
chascoms,1,0
cipolletti,1,2
ciudad aut de bs as,0,1
ciudad autnoma de buenos aires,110,61
ciudad de corrientes,0,1
ciudadela,2,3
claypole,1,1
clorinda,5,4
coln,1,0
comandante andresito,0,2
comodoro rivadavia,2,1
concepcin,1,0
concepcin del uruguay,2,1
concordia,2,2
coquimbito,1,0
coronda,0,1
coronel belisle,0,1
coronel dorrego,1,0
corrientes,4,7
crdoba,18,25
crdoba capital,0,2
dean funes,4,3
del viso,1,4
den funes,2,0
departamento ambato,0,1
devoto,0,1
diamante,0,1
dolores,1,3
donadeu,4,0
eduardo castex,0,1
el bolsn,1,2
el jagel,0,1
el palomar,0,1
el quince,0,1
el rabn,0,1
el talar,0,1
eldorado,1,1
esquel,0,3
esteban echeverria,0,1
ezeiza,1,5
ezpeleta,0,1
florencia,0,1
florencio varela,4,10
flores,1,0
florida,1,1
fontana,0,1
formosa,5,7
francisco alvarez,0,1
funes,0,1
gaboto,0,1
gandara,1,0
general conesa,1,0
general rodrguez,2,0
gerli,0,1
glew,0,1
glvez,2,1
godoy cruz,1,3
gonzlez catn,0,4
goya,0,1
granadero baigorria,1,1
grand bourg,1,2
gregorio de laferrere,2,3
gualeguay,0,1
gualeguaych,0,1
guamin,0,1
guatrach,1,0
guavirav,0,1
guaymallen,1,1
guaymalln,0,4
guernica,0,1
henderson,0,1
hilario ascasubi,0,1
humberto i,1,0
hurlingham,3,1
ibarreta,1,0
ingeniero adolfo sourdeaux,0,1
ingeniero budge,0,1
ingeniero maschwitz,1,0
ingenio nueva baviera,1,0
isidro casanova,0,1
ituzaing,0,1
jardn amrica,1,0
jesus mara,0,1
jos c. paz,6,8
jos len surez,0,3
juan bautista alberdi,1,0
juan jos castelli,1,1
jujuy,0,3
junn,2,2
la banda,12,3
la leonesa,1,0
la matanza,3,3
la plata,2,22
la rioja,0,4
la tablada,0,1
lans,0,2
lans este,1,0
lans oeste,1,0
lanus.,0,2
las colonias,0,1
las heras,1,2
las talitas,1,0
lavalle,1,0
leandro n. alem,1,0
lincoln,1,0
liniers,0,2
lisandro olmos,0,2
loma hermosa,0,1
lomas de zamora,4,4
lomas del mirador,1,1
los frentones,0,1
los hornos,0,1
los polvorines,0,1
los troncos del talar,1,0
lugano,0,1
lules,1,0
magdalena,1,1
maip,2,3
malvinas argentinas,2,5
manantiales,1,0
mar de aj,1,0
mar de ajo,1,1
mar del plata,13,18
marcos jurez,0,2
mataderos,0,1
media agua,0,1
melincue,1,0
mendoza,4,20
mercedes,1,1
merlo,1,3
miramar,0,1
misiones,1,0
monte caseros,1,0
monte grande,1,3
monteagudo,0,1
montecarlo,0,1
moreno,4,5
morn,1,3
muiz,1,0
munro,0,1
necochea,0,1
neuquen,0,4
neuqun,4,9
norberto de la riestra,0,1
ober,1,2
olavarra,0,2
olivos,1,2
once,0,1
orn,0,2
pablo nogus,0,2
palermo,1,3
pampa blanca,1,0
paran,3,4
parana,0,1
paso de los libres,0,2
paso fronterizo crsito redentor,0,1
pergamino,0,1
pico truncado,1,0
pilar,1,2
pocito,0,1
pontevedra,1,0
posadas,0,10
presidencia roque senz pea,0,1
presidente derqui,1,0
puerto esperanza,0,1
puerto iguaz,0,1
puerto madryn,0,2
puerto vilelas,0,1
quilmes,4,7
rafael castillo,0,2
ramn castillo,1,0
ramos meja,0,2
rauch,1,1
rawson,0,5
remedios de escalada,1,2
resistencia,4,12
ricardo rojas,0,1
rio gallegos,0,3
rio grande,0,2
rivadavia,0,2
ro cuarto,0,3
ro gallegos,1,2
ro grande,1,0
ro primero,1,0
ro tercero,0,3
rodeo,0,1
rodeo de la cruz,1,0
rosario,40,39
rosario de lerma,0,1
saladillo,1,0
salta,7,15
san antonio,2,0
san bernardo del tuy,1,0
san carlos,0,1
san carlos de bariloche,3,6
san clemente del tuyu,1,0
san fernando,3,3
san fernando del valle de catamarca,3,3
san francisco,1,0
san francisco solano,1,3
san isidro,1,4
san jos,0,3
san juan,0,4
san justo,2,2
san lorenzo,0,1
san luis,3,8
san marcos sierras,1,1
san martn,1,2
san miguel,4,10
san miguel de tucumn,4,21
san miguel del monte,1,6
san nicolas,0,3
san nicols,0,1
san nicols de los arroyos,1,1
san pedro,1,0
san rafael,0,2
san ramon de la nueva oran,0,2
san roque,0,1
san salvador de jujuy,5,13
san vicente,0,1
santa ana,0,1
santa fe,8,14
santa fe de la vera cruz,0,1
santa luca,1,0
santa rosa,0,2
santiago del estero,5,10
santo tom,1,2
sebastian elcano,0,1
sierra de los padres,0,3
sm tuc,1,0
sourigues,2,0
tacuil,0,1
taf viejo,0,1
tandil,0,3
tapiales,1,0
tartagal,1,0
temperley,0,2
termas de rio hondo,0,1
termas de ro hondo,1,3
tigre,2,2
trelew,0,4
tres arroyos,0,1
tres de febrero,1,0
trujui,0,1
tucumn,1,0
tunuyn,0,1
ushuaia,0,6
v. luro,1,0
vedia,1,0
veinticinco de mayo,0,1
venado tuerto,0,1
vera,1,0
vicente lpez,4,2
victoria,0,1
villa atamisqui,0,1
villa ballester,1,0
villa carlos paz,0,1
villa centenario,1,0
villa de leales,1,0
villa de merlo,2,1
villa dominico,2,0
villa el chocn,1,0
villa elvira,0,1
villa fiorito,6,1
villa gobernador galvez,0,2
villa la angostura,0,1
villa la florida,1,0
villa luro,0,1
villa lynch,0,2
villa madero,1,2
villa martelli,0,2
villa mercedes,1,4
villa pueyrredon,0,1
villa ro hondo,0,2
villa tesei,2,0
villaguay,1,1
virrey del pino,0,2
virreyes,0,1
vista alegre norte,1,0
wilde,2,1
william c. morris,1,0
zapala,1,0
zarate,0,5
zrate,0,2
