consultante_nacionalidad,anio,trimestre,trimestre_lbl,intervenciones,confirmadas,tasa
,2020,1,T1,70,24,0.34285714285714286
,2020,2,T2,82,36,0.43902439024390244
,2020,3,T3,64,23,0.359375
,2020,4,T4,60,29,0.48333333333333334
,2021,1,T1,126,68,0.5396825396825397
,2021,2,T2,110,57,0.5181818181818182
,2021,3,T3,130,57,0.43846153846153846
,2021,4,T4,90,50,0.5555555555555556
,2022,1,T1,89,54,0.6067415730337079
,2022,2,T2,112,64,0.5714285714285714
,2022,3,T3,101,63,0.6237623762376238
,2022,4,T4,95,40,0.42105263157894735
,2023,1,T1,149,88,0.5906040268456376
,2023,2,T2,147,77,0.5238095238095238
,2023,3,T3,170,86,0.5058823529411764
,2023,4,T4,123,73,0.5934959349593496
,2024,1,T1,148,85,0.5743243243243243
,2024,2,T2,145,64,0.4413793103448276
,2024,3,T3,158,73,0.4620253164556962
,2024,4,T4,154,81,0.525974025974026
argentina,2020,1,T1,57,33,0.5789473684210527
argentina,2020,2,T2,63,36,0.5714285714285714
argentina,2020,3,T3,56,31,0.5535714285714286
argentina,2020,4,T4,46,31,0.6739130434782609
argentina,2021,1,T1,28,26,0.9285714285714286
argentina,2021,2,T2,25,18,0.72
argentina,2021,3,T3,28,20,0.7142857142857143
argentina,2021,4,T4,27,19,0.7037037037037037
argentina,2022,1,T1,27,17,0.6296296296296297
argentina,2022,2,T2,31,17,0.5483870967741935
argentina,2022,3,T3,25,12,0.48
argentina,2022,4,T4,32,16,0.5
argentina,2023,1,T1,33,20,0.6060606060606061
argentina,2023,2,T2,19,10,0.5263157894736842
argentina,2023,3,T3,17,13,0.7647058823529411
argentina,2023,4,T4,20,14,0.7
argentina,2024,1,T1,38,26,0.6842105263157895
argentina,2024,2,T2,32,21,0.65625
argentina,2024,3,T3,36,21,0.5833333333333334
argentina,2024,4,T4,39,30,0.7692307692307693
bolivia,2020,1,T1,3,2,0.6666666666666666
bolivia,2020,2,T2,4,2,0.5
bolivia,2021,1,T1,1,1,1.0
bolivia,2022,1,T1,1,1,1.0
bolivia,2022,4,T4,1,1,1.0
bolivia,2024,3,T3,1,0,0.0
bolivia,2024,4,T4,1,1,1.0
brasil,2024,2,T2,3,0,0.0
brasil,2024,3,T3,1,0,0.0
brasil,2024,4,T4,1,0,0.0
colombia,2023,4,T4,1,1,1.0
colombia,2024,4,T4,1,0,0.0
paraguay,2020,3,T3,1,0,0.0
paraguay,2024,1,T1,1,1,1.0
paraguay,2024,3,T3,1,0,0.0
paraguay,2024,4,T4,1,1,1.0
peru,2022,4,T4,1,1,1.0
sin descripcion,2020,2,T2,1,1,1.0
sin descripcion,2021,1,T1,2,1,0.5
sin descripcion,2021,3,T3,1,1,1.0
sin descripcion,2022,1,T1,1,1,1.0
sin descripcion,2022,4,T4,1,1,1.0
sin descripcion,2023,1,T1,1,1,1.0
sin descripcion,2023,2,T2,1,1,1.0
sin descripcion,2024,2,T2,1,1,1.0
uruguay,2020,2,T2,3,1,0.3333333333333333
uruguay,2020,4,T4,1,0,0.0
uruguay,2021,1,T1,3,1,0.3333333333333333
uruguay,2021,3,T3,4,0,0.0
uruguay,2021,4,T4,3,0,0.0
uruguay,2022,1,T1,5,1,0.2
uruguay,2022,2,T2,1,0,0.0
uruguay,2022,3,T3,5,3,0.6
uruguay,2022,4,T4,6,0,0.0
uruguay,2023,1,T1,3,1,0.3333333333333333
uruguay,2023,2,T2,2,1,0.5
uruguay,2023,3,T3,6,2,0.3333333333333333
uruguay,2023,4,T4,1,0,0.0
uruguay,2024,1,T1,3,0,0.0
uruguay,2024,2,T2,1,0,0.0
uruguay,2024,4,T4,3,1,0.3333333333333333
venezolana,2020,2,T2,1,1,1.0
venezuela,2020,1,T1,2,0,0.0
venezuela,2021,1,T1,1,0,0.0
venezuela,2021,4,T4,4,2,0.5
venezuela,2023,4,T4,1,0,0.0
