consultante_provincia,consultante_localidad,intervenciones,confirmadas,tasa
,,3104,1546,0.49806701030927836
,ciudad autnoma de buenos aires,14,4,0.2857142857142857
,santiago del estero,5,4,0.8
,rosario,4,1,0.25
,villa fiorito,3,0,0.0
,buenos aires,2,1,0.5
,ciudadela,2,1,0.5
,la banda,2,0,0.0
,lanus.,2,2,1.0
,vicente lpez,2,1,0.5
,wilde,2,0,0.0
,berazategui,1,1,1.0
,mar de ajo,1,1,1.0
,mendoza,1,1,1.0
,montecarlo,1,1,1.0
,puerto esperanza,1,1,1.0
,salta,1,1,1.0
,san carlos de bariloche,1,1,1.0
,san francisco solano,1,1,1.0
,san roque,1,1,1.0
,tandil,1,1,1.0
,villa de merlo,1,0,0.0
,william c. morris,1,0,0.0
buenos aires,,1038,565,0.5443159922928709
buenos aires,buenos aires,173,137,0.791907514450867
buenos aires,mar del plata,31,18,0.5806451612903226
buenos aires,la plata,24,22,0.9166666666666666
buenos aires,ciudad autnoma de buenos aires,23,5,0.21739130434782608
buenos aires,florencio varela,14,10,0.7142857142857143
buenos aires,jos c. paz,14,8,0.5714285714285714
buenos aires,san miguel,14,10,0.7142857142857143
buenos aires,baha blanca,11,9,0.8181818181818182
buenos aires,quilmes,10,7,0.7
buenos aires,moreno,9,5,0.5555555555555556
buenos aires,caba caba,8,0,0.0
buenos aires,lomas de zamora,8,4,0.5
buenos aires,berazategui,7,5,0.7142857142857143
buenos aires,san miguel del monte,7,6,0.8571428571428571
buenos aires,avellaneda,6,6,1.0
buenos aires,malvinas argentinas,6,4,0.6666666666666666
buenos aires,san fernando,6,3,0.5
buenos aires,burzaco,5,4,0.8
buenos aires,campana,5,4,0.8
buenos aires,del viso,5,4,0.8
buenos aires,ezeiza,5,4,0.8
buenos aires,gregorio de laferrere,5,3,0.6
buenos aires,san isidro,5,4,0.8
buenos aires,zarate,5,5,1.0
buenos aires,almirante brown,4,3,0.75
buenos aires,bella vista,4,2,0.5
buenos aires,caseros,4,2,0.5
buenos aires,dolores,4,3,0.75
buenos aires,gonzlez catn,4,4,1.0
buenos aires,hurlingham,4,1,0.25
buenos aires,la matanza,4,3,0.75
buenos aires,monte grande,4,3,0.75
buenos aires,morn,4,3,0.75
buenos aires,palermo,4,3,0.75
buenos aires,santa fe,4,1,0.25
buenos aires,tigre,4,2,0.5
buenos aires,villa fiorito,4,1,0.25
buenos aires,boulogne,3,0,0.0
buenos aires,ciudadela,3,2,0.6666666666666666
buenos aires,grand bourg,3,2,0.6666666666666666
buenos aires,jos len surez,3,3,1.0
buenos aires,junn,3,1,0.3333333333333333
buenos aires,merlo,3,2,0.6666666666666666
buenos aires,olivos,3,2,0.6666666666666666
buenos aires,pilar,3,2,0.6666666666666666
buenos aires,remedios de escalada,3,2,0.6666666666666666
buenos aires,rosario,3,0,0.0
buenos aires,san francisco solano,3,2,0.6666666666666666
buenos aires,san justo,3,2,0.6666666666666666
buenos aires,san nicolas,3,3,1.0
buenos aires,sierra de los padres,3,3,1.0
buenos aires,vicente lpez,3,0,0.0
buenos aires,villa madero,3,2,0.6666666666666666
buenos aires,ayacucho,2,2,1.0
buenos aires,azul,2,1,0.5
buenos aires,bccar,2,1,0.5
buenos aires,beln de escobar,2,1,0.5
buenos aires,benavidez,2,0,0.0
buenos aires,chacabuco,2,1,0.5
buenos aires,claypole,2,1,0.5
buenos aires,florida,2,1,0.5
buenos aires,general rodrguez,2,0,0.0
buenos aires,lans,2,2,1.0
buenos aires,liniers,2,2,1.0
buenos aires,lisandro olmos,2,2,1.0
buenos aires,lomas del mirador,2,1,0.5
buenos aires,magdalena,2,1,0.5
buenos aires,mercedes,2,1,0.5
buenos aires,olavarra,2,2,1.0
buenos aires,pablo nogus,2,2,1.0
buenos aires,rafael castillo,2,2,1.0
buenos aires,ramos meja,2,2,1.0
buenos aires,rauch,2,1,0.5
buenos aires,san martn,2,2,1.0
buenos aires,sourigues,2,0,0.0
buenos aires,tandil,2,2,1.0
buenos aires,temperley,2,2,1.0
buenos aires,villa lynch,2,2,1.0
buenos aires,villa tesei,2,0,0.0
buenos aires,virrey del pino,2,2,1.0
buenos aires,zrate,2,2,1.0
buenos aires,9 de julio,1,1,1.0
buenos aires,adrogu,1,0,0.0
buenos aires,altos de san lorenzo,1,0,0.0
buenos aires,balcarce,1,1,1.0
buenos aires,banfield,1,1,1.0
buenos aires,baradero,1,0,0.0
buenos aires,bernal,1,1,1.0
buenos aires,billinghurst,1,1,1.0
buenos aires,caballito,1,1,1.0
buenos aires,"capitn sarmiento, buenos aires",1,0,0.0
buenos aires,carmen de patagones,1,1,1.0
buenos aires,cauelas,1,0,0.0
buenos aires,chascoms,1,0,0.0
buenos aires,coln,1,0,0.0
buenos aires,coronel dorrego,1,0,0.0
buenos aires,devoto,1,1,1.0
buenos aires,el jagel,1,1,1.0
buenos aires,el talar,1,1,1.0
buenos aires,esteban echeverria,1,1,1.0
buenos aires,ezpeleta,1,1,1.0
buenos aires,flores,1,0,0.0
buenos aires,formosa,1,1,1.0
buenos aires,francisco alvarez,1,1,1.0
buenos aires,gandara,1,0,0.0
buenos aires,general conesa,1,0,0.0
buenos aires,gerli,1,1,1.0
buenos aires,glew,1,1,1.0
buenos aires,guamin,1,1,1.0
buenos aires,guaymallen,1,1,1.0
buenos aires,guernica,1,1,1.0
buenos aires,henderson,1,1,1.0
buenos aires,hilario ascasubi,1,1,1.0
buenos aires,ingeniero adolfo sourdeaux,1,1,1.0
buenos aires,ingeniero budge,1,1,1.0
buenos aires,ingeniero maschwitz,1,0,0.0
buenos aires,isidro casanova,1,1,1.0
buenos aires,ituzaing,1,1,1.0
buenos aires,la tablada,1,1,1.0
buenos aires,lans este,1,0,0.0
buenos aires,lans oeste,1,0,0.0
buenos aires,lincoln,1,0,0.0
buenos aires,loma hermosa,1,1,1.0
buenos aires,los hornos,1,1,1.0
buenos aires,los polvorines,1,1,1.0
buenos aires,los troncos del talar,1,0,0.0
buenos aires,mar de aj,1,0,0.0
buenos aires,mar de ajo,1,0,0.0
buenos aires,mataderos,1,1,1.0
buenos aires,miramar,1,1,1.0
buenos aires,monteagudo,1,1,1.0
buenos aires,muiz,1,0,0.0
buenos aires,munro,1,1,1.0
buenos aires,necochea,1,1,1.0
buenos aires,norberto de la riestra,1,1,1.0
buenos aires,once,1,1,1.0
buenos aires,pergamino,1,1,1.0
buenos aires,pontevedra,1,0,0.0
buenos aires,presidente derqui,1,0,0.0
buenos aires,ramn castillo,1,0,0.0
buenos aires,ricardo rojas,1,1,1.0
buenos aires,saladillo,1,0,0.0
buenos aires,san bernardo del tuy,1,0,0.0
buenos aires,san carlos,1,1,1.0
buenos aires,san clemente del tuyu,1,0,0.0
buenos aires,san jos,1,1,1.0
buenos aires,san nicols,1,1,1.0
buenos aires,san nicols de los arroyos,1,1,1.0
buenos aires,san vicente,1,1,1.0
buenos aires,tapiales,1,0,0.0
buenos aires,tres arroyos,1,1,1.0
buenos aires,tres de febrero,1,0,0.0
buenos aires,trujui,1,1,1.0
buenos aires,vedia,1,0,0.0
buenos aires,villa ballester,1,0,0.0
buenos aires,villa centenario,1,0,0.0
buenos aires,villa dominico,1,0,0.0
buenos aires,villa elvira,1,1,1.0
buenos aires,villa la florida,1,0,0.0
buenos aires,villa luro,1,1,1.0
buenos aires,villa martelli,1,1,1.0
buenos aires,villa pueyrredon,1,1,1.0
buenos aires,virreyes,1,1,1.0
buenos aires,wilde,1,1,1.0
catamarca,,32,12,0.375
catamarca,san fernando del valle de catamarca,6,3,0.5
catamarca,catamarca,5,2,0.4
catamarca,beln,1,0,0.0
catamarca,capital,1,1,1.0
catamarca,departamento ambato,1,1,1.0
catamarca,la banda,1,0,0.0
catamarca,manantiales,1,0,0.0
catamarca,san antonio,1,0,0.0
chaco,,98,53,0.5408163265306123
chaco,resistencia,16,12,0.75
chaco,charata,2,1,0.5
chaco,juan jos castelli,2,1,0.5
chaco,avi tera,1,0,0.0
chaco,fontana,1,1,1.0
chaco,la leonesa,1,0,0.0
chaco,los frentones,1,1,1.0
chaco,presidencia roque senz pea,1,1,1.0
chaco,puerto vilelas,1,1,1.0
chubut,,41,21,0.5121951219512195
chubut,rawson,5,5,1.0
chubut,trelew,4,4,1.0
chubut,comodoro rivadavia,3,1,0.3333333333333333
chubut,esquel,3,3,1.0
chubut,puerto madryn,2,2,1.0
chubut,campo gallo,1,0,0.0
ciudad autnoma de buenos aires,,599,347,0.5792988313856428
ciudad autnoma de buenos aires,ciudad autnoma de buenos aires,125,46,0.368
ciudad autnoma de buenos aires,buenos aires,19,17,0.8947368421052632
ciudad autnoma de buenos aires,la matanza,2,0,0.0
