feature,coef,coef_abs,signo
cat__origen_ciudadano,-1.2884053160898086,1.2884053160898086,-
cat__consultante_localidad_,-0.7623672354412919,0.7623672354412919,-
cat__consultante_nacionalidad_uruguay,-0.7431656077460612,0.7431656077460612,-
cat__consultante_localidad_ciudad autnoma de buenos aires,-0.5786893710733971,0.5786893710733971,-
cat__localidad_Córdoba,0.5299567065402293,0.5299567065402293,+
cat__localidad_San Miguel de Tucumán,0.5194486401417929,0.5194486401417929,+
cat__consultante_localidad_rosario,-0.513792746332762,0.513792746332762,-
cat__provincia_Río Negro,-0.5136028581514827,0.5136028581514827,-
cat__consultante_nacionalidad_sin descripcion,0.5000384060599461,0.5000384060599461,+
cat__via_ingreso_linea 149,-0.4959963660501308,0.4959963660501308,-
cat__consultante_como_conocio_la_linea_Por publicidad en TV,-0.48414798096839007,0.48414798096839007,-
cat__consultante_provincia_catamarca,-0.48188593707360106,0.48188593707360106,-
cat__consultante_como_conocio_la_linea_Concurrió en otra oportunidad,0.4513178335107774,0.4513178335107774,+
cat__consultante_provincia_neuqun,0.44623214230625174,0.44623214230625174,+
cat__consultante_localidad_crdoba,-0.43772950967160024,0.43772950967160024,-
cat__consultante_provincia_ro negro,-0.41147464188879673,0.41147464188879673,-
cat__consultante_provincia_tucumn,-0.4084896466363669,0.4084896466363669,-
cat__consultante_provincia_,-0.40829220446389347,0.40829220446389347,-
cat__consultante_localidad_la plata,0.4053508558010854,0.4053508558010854,+
cat__consultante_como_conocio_la_linea_Por publicidad en radio,-0.40257744741857937,0.40257744741857937,-
cat__via_ingreso_linea 145,-0.39165244364111357,0.39165244364111357,-
cat__consultante_provincia_mendoza,0.36776485522720653,0.36776485522720653,+
cat__consultante_provincia_chaco,0.3642729738773192,0.3642729738773192,+
cat__consultante_localidad_la banda,-0.35645474427677315,0.35645474427677315,-
cat__localidad_Lomas de Zamora,-0.34694591088719073,0.34694591088719073,-
cat__consultante_localidad_san miguel de tucumn,0.3392318332352899,0.3392318332352899,+
cat__consultante_localidad_resistencia,0.3313640460461625,0.3313640460461625,+
cat__consultante_localidad_caba caba,-0.3257232557184146,0.3257232557184146,-
cat__localidad_San Martín,0.3212193745400719,0.3212193745400719,+
cat__consultante_provincia_santiago del estero,0.3177556567275469,0.3177556567275469,+
cat__consultante_localidad_lomas de zamora,-0.31731069399218564,0.31731069399218564,-
cat__via_ingreso_llamada no pertinente,0.3157900878252595,0.3157900878252595,+
cat__provincia_Chaco,-0.31395596926131963,0.31395596926131963,-
cat__consultante_localidad_san fernando,-0.31006787279415077,0.31006787279415077,-
cat__consultante_provincia_crdoba,-0.30499076888811183,0.30499076888811183,-
cat__localidad_San Fernando,-0.3002202807939846,0.3002202807939846,-
cat__consultante_localidad_ushuaia,0.2988218560386457,0.2988218560386457,+
cat__consultante_provincia_san juan,0.29157930643482466,0.29157930643482466,+
cat__consultante_nacionalidad_venezuela,-0.2914677922042721,0.2914677922042721,-
cat__localidad_Campana,0.2910230193683673,0.2910230193683673,+
cat__consultante_localidad_benavidez,-0.2909894521442815,0.2909894521442815,-
cat__localidad_Ciudad Autónoma de Buenos Aires,0.2869957032499264,0.2869957032499264,+
cat__localidad_General Rodríguez,-0.2837460733575596,0.2837460733575596,-
cat__consultante_localidad_formosa,0.2837372054083398,0.2837372054083398,+
cat__temporada_otonio,0.2818266845641114,0.2818266845641114,+
cat__consultante_provincia_san luis,0.2793897150711181,0.2793897150711181,+
cat__localidad_Monte Caseros,0.27283295731261803,0.27283295731261803,+
cat__consultante_localidad_buenos aires,0.27203223564270873,0.27203223564270873,+
cat__localidad_Deán Funes,-0.27085031422969635,0.27085031422969635,-
cat__localidad_Trelew,0.26652006311875326,0.26652006311875326,+
cat__via_ingreso_formulario_web,0.26357689624553393,0.26357689624553393,+
num__consultante_edad_aparente,-0.26261006200656195,0.26261006200656195,-
cat__localidad_Grand Bourg,0.26254804031788337,0.26254804031788337,+
cat__localidad_Buenos Aires,0.2586289117832149,0.2586289117832149,+
cat__localidad_José C. Paz,0.2563239264055687,0.2563239264055687,+
cat__consultante_localidad_villa fiorito,-0.25602594165006165,0.25602594165006165,-
cat__consultante_localidad_san miguel del monte,0.252950937490867,0.252950937490867,+
cat__localidad_Gualeguaychú,-0.25092401031502315,0.25092401031502315,-
cat__provincia_Santa Fe,0.24808877399906706,0.24808877399906706,+
cat__consultante_localidad_san miguel,0.24624463200586916,0.24624463200586916,+
cat__consultante_provincia_tierra del fuego,0.24576296944875883,0.24576296944875883,+
cat__localidad_Malvinas Argentinas,0.2456369831295464,0.2456369831295464,+
cat__consultante_localidad_mendoza,0.24363831400183378,0.24363831400183378,+
cat__localidad_Jujuy,0.2419042117967782,0.2419042117967782,+
cat__localidad_San Miguel,-0.2346647345637278,0.2346647345637278,-
cat__localidad_Berazategui,-0.23316095768944192,0.23316095768944192,-
cat__consultante_localidad_baha blanca,0.23294821713011948,0.23294821713011948,+
cat__provincia_San Juan,0.23232041543819,0.23232041543819,+
cat__localidad_San Antonio,-0.23199747729474718,0.23199747729474718,-
cat__consultante_localidad_boulogne,-0.23031726277187173,0.23031726277187173,-
cat__localidad_Boulogne,-0.23031726277187173,0.23031726277187173,-
cat__localidad_Comodoro Rivadavia,-0.2279740966796064,0.2279740966796064,-
cat__provincia_Neuquén,-0.22786496999077316,0.22786496999077316,-
num__dia_semana,-0.2277957138959534,0.2277957138959534,-
cat__localidad_Tartagal,-0.22240247403013205,0.22240247403013205,-
cat__localidad_Gálvez,-0.22191843934459077,0.22191843934459077,-
cat__localidad_La Matanza,0.22102678688760857,0.22102678688760857,+
cat__provincia_Santiago del Estero,-0.21658291879592034,0.21658291879592034,-
cat__localidad_Formosa,-0.21643639026473552,0.21643639026473552,-
cat__consultante_localidad_clorinda,-0.21544455409997834,0.21544455409997834,-
cat__localidad_Salta,-0.21475182379463048,0.21475182379463048,-
cat__localidad_Baradero,-0.21209319071194652,0.21209319071194652,-
cat__localidad_Corrientes,-0.2105941424489854,0.2105941424489854,-
cat__localidad_Paraná,0.21028737544080398,0.21028737544080398,+
cat__situacion_Urgencia,0.20988396876614238,0.20988396876614238,+
cat__dependencia_alta_PNR - Línea 145,0.20852350893570162,0.20852350893570162,+
cat__consultante_localidad_catamarca,-0.20776639052801868,0.20776639052801868,-
cat__provincia_Catamarca,-0.20768707518117363,0.20768707518117363,-
cat__origen_institucion - ente nacional de comunicaciones,-0.20758960951022523,0.20758960951022523,-
"cat__consultante_como_conocio_la_linea_No sabe, no recuerda",0.20646109522621822,0.20646109522621822,+
