feature,coef,coef_abs,signo,tipo
cat__localidad_Córdoba,0.5299567065402293,0.5299567065402293,+,Top +
cat__localidad_San Miguel de Tucumán,0.5194486401417929,0.5194486401417929,+,Top +
cat__consultante_nacionalidad_sin descripcion,0.5000384060599461,0.5000384060599461,+,Top +
cat__consultante_como_conocio_la_linea_Concurrió en otra oportunidad,0.4513178335107774,0.4513178335107774,+,Top +
cat__consultante_provincia_neuqun,0.44623214230625174,0.44623214230625174,+,Top +
cat__consultante_localidad_la plata,0.4053508558010854,0.4053508558010854,+,Top +
cat__consultante_provincia_mendoza,0.36776485522720653,0.36776485522720653,+,Top +
cat__consultante_provincia_chaco,0.3642729738773192,0.3642729738773192,+,Top +
cat__consultante_localidad_san miguel de tucumn,0.3392318332352899,0.3392318332352899,+,Top +
cat__consultante_localidad_resistencia,0.3313640460461625,0.3313640460461625,+,Top +
cat__localidad_San Martín,0.3212193745400719,0.3212193745400719,+,Top +
cat__consultante_provincia_santiago del estero,0.3177556567275469,0.3177556567275469,+,Top +
cat__via_ingreso_llamada no pertinente,0.3157900878252595,0.3157900878252595,+,Top +
cat__consultante_localidad_ushuaia,0.2988218560386457,0.2988218560386457,+,Top +
cat__consultante_provincia_san juan,0.29157930643482466,0.29157930643482466,+,Top +
cat__origen_ciudadano,-1.2884053160898086,1.2884053160898086,-,Top -
cat__consultante_localidad_,-0.7623672354412919,0.7623672354412919,-,Top -
cat__consultante_nacionalidad_uruguay,-0.7431656077460612,0.7431656077460612,-,Top -
cat__consultante_localidad_ciudad autnoma de buenos aires,-0.5786893710733971,0.5786893710733971,-,Top -
cat__consultante_localidad_rosario,-0.513792746332762,0.513792746332762,-,Top -
cat__provincia_Río Negro,-0.5136028581514827,0.5136028581514827,-,Top -
cat__via_ingreso_linea 149,-0.4959963660501308,0.4959963660501308,-,Top -
cat__consultante_como_conocio_la_linea_Por publicidad en TV,-0.48414798096839007,0.48414798096839007,-,Top -
cat__consultante_provincia_catamarca,-0.48188593707360106,0.48188593707360106,-,Top -
cat__consultante_localidad_crdoba,-0.43772950967160024,0.43772950967160024,-,Top -
cat__consultante_provincia_ro negro,-0.41147464188879673,0.41147464188879673,-,Top -
cat__consultante_provincia_tucumn,-0.4084896466363669,0.4084896466363669,-,Top -
cat__consultante_provincia_,-0.40829220446389347,0.40829220446389347,-,Top -
cat__consultante_como_conocio_la_linea_Por publicidad en radio,-0.40257744741857937,0.40257744741857937,-,Top -
cat__via_ingreso_linea 145,-0.39165244364111357,0.39165244364111357,-,Top -
