consultante_localidad,0,1
,85.11,78.14
9 de julio,0.0,0.02
adrogu,0.03,0.0
aguaray,0.03,0.0
aguirre,0.0,0.02
alderetes,0.0,0.02
almirante brown,0.03,0.07
alta gracia,0.0,0.02
altos de san lorenzo,0.03,0.0
apstoles,0.0,0.02
avellaneda,0.0,0.14
avi tera,0.03,0.0
ayacucho,0.0,0.05
azul,0.03,0.02
baha blanca,0.06,0.21
balcarce,0.0,0.02
banfield,0.0,0.02
baradero,0.03,0.0
bccar,0.03,0.02
bella vista,0.06,0.07
beln,0.03,0.0
beln de escobar,0.03,0.02
benavidez,0.06,0.0
berazategui,0.06,0.14
bernal,0.0,0.02
billinghurst,0.03,0.02
boulogne,0.08,0.0
buenos aires,1.08,3.65
burzaco,0.03,0.09
buta ranquil,0.0,0.02
caba caba,0.22,0.0
caballito,0.03,0.02
campana,0.03,0.09
campo gallo,0.03,0.0
campo grande,0.03,0.0
capilla del monte,0.03,0.02
capital,0.03,0.09
"capitn sarmiento, buenos aires",0.03,0.0
carmen de patagones,0.0,0.02
caseros,0.06,0.05
catamarca,0.08,0.05
cauelas,0.03,0.0
centenario,0.0,0.02
chacabuco,0.03,0.02
charata,0.03,0.02
chascoms,0.03,0.0
cipolletti,0.03,0.05
ciudad aut de bs as,0.0,0.02
ciudad autnoma de buenos aires,3.05,1.44
ciudad de corrientes,0.0,0.02
ciudadela,0.06,0.07
claypole,0.03,0.02
clorinda,0.14,0.09
coln,0.03,0.0
comandante andresito,0.0,0.05
comodoro rivadavia,0.06,0.02
concepcin,0.03,0.0
concepcin del uruguay,0.06,0.02
concordia,0.06,0.05
coquimbito,0.03,0.0
coronda,0.0,0.02
coronel belisle,0.0,0.02
coronel dorrego,0.03,0.0
corrientes,0.11,0.17
crdoba,0.5,0.59
crdoba capital,0.0,0.05
dean funes,0.11,0.07
del viso,0.03,0.09
den funes,0.06,0.0
departamento ambato,0.0,0.02
devoto,0.0,0.02
diamante,0.0,0.02
dolores,0.03,0.07
donadeu,0.11,0.0
eduardo castex,0.0,0.02
el bolsn,0.03,0.05
el jagel,0.0,0.02
el palomar,0.0,0.02
el quince,0.0,0.02
el rabn,0.0,0.02
el talar,0.0,0.02
eldorado,0.03,0.02
esquel,0.0,0.07
esteban echeverria,0.0,0.02
ezeiza,0.03,0.12
ezpeleta,0.0,0.02
florencia,0.0,0.02
florencio varela,0.11,0.24
flores,0.03,0.0
florida,0.03,0.02
