dataset,columna,nulos,porcentaje,dtype,unicos
antes,consultante_localidad,7079,0.9014,object,235
antes,consultante_como_conocio_la_linea,6810,0.8672,object,45
antes,consultante_nacionalidad,6464,0.8231,object,16
antes,consultante_provincia,3737,0.4759,object,24
antes,localidad,3227,0.4109,object,636
antes,provincia_indec_id,2760,0.3515,float64,24
antes,provincia,2759,0.3513,object,25
antes,hora_ingreso,2736,0.3484,object,1236
antes,consultante_edad_aparente,1184,0.1508,float64,88
antes,consultante_genero,1051,0.1338,object,14
antes,via_ingreso,617,0.0786,object,28
antes,consultante_tipo,415,0.0528,object,5
antes,situacion,10,0.0013,object,3
antes,tema,5,0.0006,object,41
antes,subtema,5,0.0006,object,816
antes,fecha_ingreso,0,0.0,object,1687
antes,es_anonima,0,0.0,object,3
antes,origen,0,0.0,object,364
antes,nro_registro_interno,0,0.0,int64,7853
antes,dependencia_alta,0,0.0,object,8
