dataset,columna,nulos,porcentaje,dtype,unicos
despues,consultante_como_conocio_la_linea,6810,0.8672,object,45
despues,consultante_localidad,6389,0.8136,object,351
despues,consultante_nacionalidad,5940,0.7564,object,18
despues,localidad,3191,0.4063,object,637
despues,consultante_provincia,3154,0.4016,object,25
despues,provincia_indec_id,2760,0.3515,float64,24
despues,provincia,2738,0.3487,object,25
despues,consultante_edad_aparente,1184,0.1508,float64,88
despues,consultante_genero,1050,0.1337,object,14
despues,via_ingreso,617,0.0786,object,28
despues,consultante_tipo,415,0.0528,object,5
despues,situacion,10,0.0013,object,3
despues,subtema,5,0.0006,object,816
despues,es_trata,5,0.0006,float64,2
despues,tema,5,0.0006,object,41
despues,fecha_ingreso,0,0.0,object,1687
despues,origen,0,0.0,object,364
despues,nro_registro_interno,0,0.0,int64,7853
despues,dependencia_alta,0,0.0,object,8
despues,es_anonima,0,0.0,object,3
