consultante_provincia,consultante_localidad,anio,trimestre,trimestre_lbl,intervenciones,confirmadas,tasa
,,2020,1,T1,56,19,0.3392857142857143
,,2020,2,T2,80,32,0.4
,,2020,3,T3,56,19,0.3392857142857143
,,2020,4,T4,62,31,0.5
,,2021,1,T1,116,61,0.5258620689655172
,,2021,2,T2,110,52,0.4727272727272727
,,2021,3,T3,122,47,0.38524590163934425
,,2021,4,T4,84,39,0.4642857142857143
,,2022,1,T1,25,14,0.56
,,2022,2,T2,41,14,0.34146341463414637
,,2022,3,T3,29,20,0.6896551724137931
,,2022,4,T4,29,9,0.3103448275862069
,,2023,1,T1,63,41,0.6507936507936508
,,2023,2,T2,49,27,0.5510204081632653
,,2023,3,T3,47,28,0.5957446808510638
,,2023,4,T4,39,26,0.6666666666666666
,,2024,1,T1,48,28,0.5833333333333334
,,2024,2,T2,50,25,0.5
,,2024,3,T3,37,15,0.40540540540540543
,,2024,4,T4,49,30,0.6122448979591837
,buenos aires,2023,2,T2,1,0,0.0
,ciudad autnoma de buenos aires,2022,2,T2,2,1,0.5
,ciudad autnoma de buenos aires,2023,1,T1,1,0,0.0
,ciudad autnoma de buenos aires,2023,3,T3,1,0,0.0
,ciudad autnoma de buenos aires,2023,4,T4,1,1,1.0
,la banda,2022,3,T3,1,0,0.0
,lanus.,2024,3,T3,2,2,1.0
,mendoza,2023,1,T1,1,1,1.0
,puerto esperanza,2024,4,T4,1,1,1.0
,rosario,2023,1,T1,1,1,1.0
,san carlos de bariloche,2023,2,T2,1,1,1.0
,san francisco solano,2023,2,T2,1,1,1.0
,santiago del estero,2022,1,T1,1,1,1.0
,santiago del estero,2022,2,T2,1,1,1.0
,santiago del estero,2022,3,T3,1,0,0.0
,santiago del estero,2024,3,T3,1,1,1.0
,tandil,2024,1,T1,1,1,1.0
,villa de merlo,2024,1,T1,1,0,0.0
,villa fiorito,2023,1,T1,1,0,0.0
,wilde,2023,4,T4,1,0,0.0
,william c. morris,2023,1,T1,1,0,0.0
buenos aires,,2020,3,T3,1,1,1.0
buenos aires,,2020,4,T4,1,1,1.0
buenos aires,,2021,2,T2,1,0,0.0
buenos aires,,2022,1,T1,20,9,0.45
buenos aires,,2022,2,T2,32,19,0.59375
buenos aires,,2022,3,T3,27,14,0.5185185185185185
buenos aires,,2022,4,T4,21,8,0.38095238095238093
buenos aires,,2023,1,T1,35,21,0.6
buenos aires,,2023,2,T2,43,23,0.5348837209302325
buenos aires,,2023,3,T3,42,19,0.4523809523809524
buenos aires,,2023,4,T4,34,17,0.5
buenos aires,,2024,1,T1,43,26,0.6046511627906976
buenos aires,,2024,2,T2,35,18,0.5142857142857142
buenos aires,,2024,3,T3,42,19,0.4523809523809524
buenos aires,,2024,4,T4,50,29,0.58
buenos aires,9 de julio,2021,1,T1,1,1,1.0
buenos aires,almirante brown,2020,2,T2,1,1,1.0
buenos aires,almirante brown,2022,4,T4,1,0,0.0
buenos aires,altos de san lorenzo,2020,4,T4,1,0,0.0
buenos aires,avellaneda,2021,2,T2,1,1,1.0
buenos aires,ayacucho,2021,1,T1,1,1,1.0
buenos aires,azul,2020,2,T2,1,0,0.0
buenos aires,baha blanca,2020,1,T1,2,2,1.0
buenos aires,baha blanca,2020,2,T2,1,0,0.0
buenos aires,baha blanca,2020,4,T4,1,1,1.0
buenos aires,baha blanca,2021,4,T4,1,1,1.0
buenos aires,baha blanca,2022,3,T3,1,1,1.0
buenos aires,balcarce,2022,4,T4,1,1,1.0
buenos aires,banfield,2023,4,T4,1,1,1.0
buenos aires,baradero,2020,3,T3,1,0,0.0
buenos aires,bccar,2021,3,T3,1,1,1.0
buenos aires,bella vista,2020,1,T1,1,0,0.0
buenos aires,bella vista,2024,2,T2,1,1,1.0
buenos aires,bella vista,2024,3,T3,1,0,0.0
buenos aires,beln de escobar,2021,3,T3,1,1,1.0
buenos aires,benavidez,2020,4,T4,1,0,0.0
buenos aires,benavidez,2022,3,T3,1,0,0.0
buenos aires,berazategui,2020,3,T3,1,0,0.0
buenos aires,boulogne,2020,1,T1,2,0,0.0
buenos aires,buenos aires,2020,1,T1,19,11,0.5789473684210527
buenos aires,buenos aires,2020,2,T2,8,6,0.75
buenos aires,buenos aires,2020,3,T3,8,6,0.75
buenos aires,buenos aires,2020,4,T4,7,5,0.7142857142857143
buenos aires,buenos aires,2021,1,T1,11,10,0.9090909090909091
buenos aires,buenos aires,2021,2,T2,2,2,1.0
buenos aires,buenos aires,2021,3,T3,3,3,1.0
buenos aires,buenos aires,2021,4,T4,6,6,1.0
buenos aires,buenos aires,2022,2,T2,1,1,1.0
buenos aires,buenos aires,2022,3,T3,1,0,0.0
buenos aires,buenos aires,2022,4,T4,5,5,1.0
buenos aires,buenos aires,2023,1,T1,1,1,1.0
buenos aires,buenos aires,2024,1,T1,1,0,0.0
buenos aires,burzaco,2020,2,T2,1,1,1.0
buenos aires,burzaco,2020,3,T3,1,1,1.0
buenos aires,caba caba,2020,4,T4,1,0,0.0
buenos aires,caba caba,2021,3,T3,1,0,0.0
buenos aires,caba caba,2021,4,T4,2,0,0.0
buenos aires,caballito,2021,4,T4,1,1,1.0
