consultante_provincia,intervenciones,confirmadas,tasa
,3154,1570,0.49778059606848446
buenos aires,1683,1000,0.5941770647653001
ciudad autnoma de buenos aires,756,415,0.548941798941799
santa fe,310,172,0.5548387096774193
crdoba,295,174,0.5898305084745763
tucumn,211,98,0.46445497630331756
mendoza,177,108,0.6101694915254238
ro negro,138,45,0.32608695652173914
salta,132,81,0.6136363636363636
chaco,124,71,0.5725806451612904
neuqun,110,63,0.5727272727272728
misiones,99,61,0.6161616161616161
entre ros,98,49,0.5
santiago del estero,83,49,0.5903614457831325
corrientes,83,48,0.5783132530120482
chubut,59,36,0.6101694915254238
jujuy,57,36,0.631578947368421
formosa,54,21,0.3888888888888889
catamarca,49,19,0.3877551020408163
san juan,45,30,0.6666666666666666
san luis,39,27,0.6923076923076923
la rioja,31,27,0.8709677419354839
tierra del fuego,30,22,0.7333333333333333
santa cruz,20,12,0.6
la pampa,11,7,0.6363636363636364
