consultante_provincia,anio,trimestre,trimestre_lbl,intervenciones,confirmadas,tasa
,2020,1,T1,56,19,0.3392857142857143
,2020,2,T2,80,32,0.4
,2020,3,T3,56,19,0.3392857142857143
,2020,4,T4,62,31,0.5
,2021,1,T1,116,61,0.5258620689655172
,2021,2,T2,110,52,0.4727272727272727
,2021,3,T3,122,47,0.38524590163934425
,2021,4,T4,84,39,0.4642857142857143
,2022,1,T1,26,15,0.5769230769230769
,2022,2,T2,44,16,0.36363636363636365
,2022,3,T3,31,20,0.6451612903225806
,2022,4,T4,29,9,0.3103448275862069
,2023,1,T1,68,43,0.6323529411764706
,2023,2,T2,52,29,0.5576923076923077
,2023,3,T3,48,28,0.5833333333333334
,2023,4,T4,41,27,0.6585365853658537
,2024,1,T1,50,29,0.58
,2024,2,T2,50,25,0.5
,2024,3,T3,40,18,0.45
,2024,4,T4,50,31,0.62
buenos aires,2020,1,T1,46,25,0.5434782608695652
buenos aires,2020,2,T2,39,28,0.717948717948718
buenos aires,2020,3,T3,29,17,0.5862068965517241
buenos aires,2020,4,T4,26,16,0.6153846153846154
buenos aires,2021,1,T1,26,22,0.8461538461538461
buenos aires,2021,2,T2,10,9,0.9
buenos aires,2021,3,T3,17,14,0.8235294117647058
buenos aires,2021,4,T4,23,19,0.8260869565217391
buenos aires,2022,1,T1,34,18,0.5294117647058824
buenos aires,2022,2,T2,40,26,0.65
buenos aires,2022,3,T3,37,20,0.5405405405405406
buenos aires,2022,4,T4,41,23,0.5609756097560976
buenos aires,2023,1,T1,36,22,0.6111111111111112
buenos aires,2023,2,T2,49,24,0.4897959183673469
buenos aires,2023,3,T3,45,22,0.4888888888888889
buenos aires,2023,4,T4,35,18,0.5142857142857142
buenos aires,2024,1,T1,46,27,0.5869565217391305
buenos aires,2024,2,T2,37,20,0.5405405405405406
buenos aires,2024,3,T3,43,19,0.4418604651162791
buenos aires,2024,4,T4,53,29,0.5471698113207547
catamarca,2020,1,T1,3,0,0.0
catamarca,2020,2,T2,1,0,0.0
catamarca,2020,4,T4,2,1,0.5
catamarca,2021,4,T4,1,1,1.0
catamarca,2022,1,T1,1,1,1.0
catamarca,2022,2,T2,3,1,0.3333333333333333
catamarca,2022,3,T3,2,0,0.0
catamarca,2022,4,T4,1,0,0.0
catamarca,2023,1,T1,1,0,0.0
catamarca,2023,2,T2,3,2,0.6666666666666666
catamarca,2023,4,T4,4,1,0.25
catamarca,2024,1,T1,2,1,0.5
catamarca,2024,3,T3,1,1,1.0
chaco,2021,1,T1,1,1,1.0
chaco,2021,2,T2,1,1,1.0
chaco,2021,3,T3,5,5,1.0
chaco,2022,1,T1,2,1,0.5
chaco,2022,2,T2,1,0,0.0
chaco,2022,3,T3,3,1,0.3333333333333333
chaco,2022,4,T4,4,2,0.5
chaco,2023,1,T1,4,4,1.0
chaco,2023,2,T2,2,1,0.5
chaco,2023,3,T3,4,2,0.5
chaco,2023,4,T4,4,4,1.0
chaco,2024,1,T1,7,5,0.7142857142857143
chaco,2024,2,T2,2,0,0.0
chaco,2024,3,T3,9,5,0.5555555555555556
chaco,2024,4,T4,3,1,0.3333333333333333
chubut,2020,2,T2,3,3,1.0
chubut,2020,3,T3,3,2,0.6666666666666666
chubut,2021,4,T4,1,1,1.0
chubut,2022,2,T2,1,1,1.0
chubut,2022,3,T3,1,1,1.0
chubut,2022,4,T4,1,0,0.0
chubut,2023,1,T1,2,0,0.0
chubut,2023,2,T2,1,1,1.0
chubut,2023,3,T3,2,0,0.0
chubut,2024,2,T2,1,0,0.0
chubut,2024,3,T3,2,2,1.0
ciudad autnoma de buenos aires,2020,1,T1,3,2,0.6666666666666666
ciudad autnoma de buenos aires,2020,2,T2,4,1,0.25
ciudad autnoma de buenos aires,2020,3,T3,2,1,0.5
ciudad autnoma de buenos aires,2020,4,T4,1,1,1.0
ciudad autnoma de buenos aires,2021,1,T1,1,0,0.0
ciudad autnoma de buenos aires,2021,2,T2,3,3,1.0
ciudad autnoma de buenos aires,2021,3,T3,5,3,0.6
ciudad autnoma de buenos aires,2021,4,T4,2,0,0.0
ciudad autnoma de buenos aires,2022,1,T1,20,13,0.65
ciudad autnoma de buenos aires,2022,2,T2,22,15,0.6818181818181818
ciudad autnoma de buenos aires,2022,3,T3,17,11,0.6470588235294118
ciudad autnoma de buenos aires,2022,4,T4,23,7,0.30434782608695654
ciudad autnoma de buenos aires,2023,1,T1,18,9,0.5
ciudad autnoma de buenos aires,2023,2,T2,20,13,0.65
ciudad autnoma de buenos aires,2023,3,T3,31,16,0.5161290322580645
ciudad autnoma de buenos aires,2023,4,T4,20,13,0.65
ciudad autnoma de buenos aires,2024,1,T1,16,9,0.5625
ciudad autnoma de buenos aires,2024,2,T2,31,13,0.41935483870967744
ciudad autnoma de buenos aires,2024,3,T3,29,18,0.6206896551724138
ciudad autnoma de buenos aires,2024,4,T4,40,22,0.55
corrientes,2020,2,T2,1,1,1.0
corrientes,2020,3,T3,1,0,0.0
corrientes,2020,4,T4,1,1,1.0
corrientes,2022,2,T2,2,2,1.0
corrientes,2022,3,T3,1,0,0.0
corrientes,2022,4,T4,2,1,0.5
